class_code,RS-CNN (Baseline),RasterConcat-CNN,BuildingVisual-CNN,BGF-LCZNet (Ours)
1,0.7692307692307693,0.6043956043956045,0.794701986754967,0.417391304347826
2,0.5955555555555555,0.8731988472622478,0.8985959438377537,0.893353941267388
3,0.9042553191489362,0.9103343465045594,0.9021739130434784,0.9706219000381534
4,0.9074410163339384,0.9255834434169968,0.9223170184104176,0.934286991506482
5,0.3412322274881516,0.3016759776536313,0.3561643835616438,0.5789473684210527
6,0.5855072463768115,0.6395348837209303,0.6925373134328359,0.7823529411764706
8,0.7735368956743004,0.2122448979591837,0.3127272727272727,0.9156010230179028
101,0.983339369793553,0.9855334538878844,0.975877192982456,0.9895344640923854
102,0.89745566692367,0.8951798010711554,0.8707280832095098,0.9262672811059908
104,0.8701298701298701,0.8937875751503006,0.8844444444444445,0.9738430583501008
107,1.0,0.9992254066615028,0.9938366718027736,0.9984520123839008
