epoch,train_loss,val_loss,val_oa,val_macro_f1,val_weighted_f1,lr
1,0.43496981524896305,0.53125321531082,0.8158603875272681,0.7146596806217087,0.8304862559627424,0.0004999638275996429
2,0.20893517906917014,0.8736392019030214,0.7943025792377775,0.6060467780834947,0.8067253840980146,0.0004998553214170351
3,0.14950996092688296,0.5216336752529434,0.8757859617605543,0.738254739429732,0.8736396542038682,0.0004996745145042111
4,0.12121352366291582,0.7468476822891158,0.8020017964840241,0.6526045696190839,0.8048070383672865,0.0004994214619367081
5,0.10422875400059432,0.5673582709493243,0.8792506095213654,0.7340126877511608,0.8825187755180302,0.0004990962407967894
6,0.08131562648744682,0.5495029130989739,0.8795072500962402,0.7192854670969807,0.8794507269191811,0.0004986989501499647
7,0.06913712984636491,0.4780921308885516,0.904016424996792,0.7394312218590984,0.9027663719004837,0.0004982297110148137
8,0.05681455191446913,0.49576451708914904,0.9045297061465418,0.7562999283323412,0.9053940330561046,0.0004976886663261227
9,0.047821197356380366,0.7880122834396708,0.8498652636981907,0.6905224685728787,0.8629218109485823,0.0004970759808913449
10,0.04238693297279427,0.775433653825621,0.8443474913383806,0.6636439272690692,0.8595608040589269,0.000496391841340399
11,0.04048341134982942,0.4924259295374276,0.9146670088540998,0.7515192637109965,0.9141754699354885,0.0004956364560688198
12,0.03690990245465605,0.6518319894378131,0.8861799050429873,0.719901968165304,0.8831566150265677,0.0004948100551742784
13,0.03840059851924318,0.8435277279388521,0.8488387013986911,0.667760489225367,0.856577346283924,0.0004939128903864929
14,0.03229369959056999,0.6114951814989793,0.9087642756319774,0.7614448822470785,0.9103804579259233,0.0004929452349905487
15,0.025854474446168,0.6180512108865714,0.900551777235981,0.741934259040124,0.8989819570838774,0.0004919073837436533
16,0.029762361864694963,0.4890587815091468,0.9260875144360323,0.7997310866841151,0.9280208674407041,0.0004907996527853503
17,0.02527122813581479,0.4385247478179756,0.931476966508405,0.7947583504413445,0.9307207120359887,0.0004896223795412205
18,0.02869886392360443,0.5655700291546208,0.9133838059797253,0.7669166909376333,0.9113211996333299,0.0004883759226200986
19,0.025527597677014777,0.5672534888669893,0.9099191582189144,0.7616903776138738,0.9100888580560135,0.00048706066170483734
20,0.021393789626703397,0.5081871189422925,0.9239060695495958,0.8115081680659242,0.9267912194909851,0.0004856769974366528
21,0.031191449509404504,0.5867922025574175,0.9121006031053509,0.7562994251529488,0.9123211089816252,0.000484225351293085
22,0.027254108455496275,0.529207623996387,0.9197998203515976,0.7937696745691022,0.9200490220507826,0.00048270616545961157
23,0.02054889232687553,0.5003513507459514,0.9267291158732196,0.782374610218111,0.9283362984398528,0.00048111990269495417
24,0.018959889337705295,0.41380089152166444,0.932631849095342,0.8142873774086208,0.9311404215562852,0.00047946704619011724
25,0.022462919874690606,0.5345980052191817,0.9285255998973437,0.7844086937145217,0.9262336328291924,0.00047774809942120397
26,0.020447331728254654,0.7557965567177819,0.8956756063133582,0.7114919798323278,0.8886063856286615,0.00047596358599605174
27,0.023468745336243213,0.5172705624521526,0.9244193506993456,0.7869476094439726,0.9230055888489148,0.00047411404949473696
28,0.019174249064801075,0.5070291990533529,0.9271140767355319,0.7809758509064711,0.9251698736334268,0.0004722000533039948
29,0.018410539967082813,0.5243481643209733,0.9215963043757218,0.804310414014287,0.9233636279741705,0.0004702221804456061
30,0.015461215564681096,0.5773932975444133,0.9241627101244707,0.7972547047911895,0.9241908023850881,0.0004681810333988039
31,0.015467078113032452,0.5458458886167418,0.9259591941485948,0.7913035474648592,0.9261284426038388,0.00046607723391675133
32,0.018350864055078405,0.5024930210151132,0.9262158347234698,0.7879650224091687,0.9221710646228217,0.0004639114228371508
33,0.02117096991831344,0.651082608897893,0.9091492364942897,0.7882718064094735,0.9084868985165017,0.00046168425988703785
34,0.015578632438168821,0.6796827205805599,0.9195431797767227,0.812543865918803,0.9206237741846894,0.00045939642348182203
35,0.012110433459405892,0.5795084288657876,0.9250609521365328,0.818223390399319,0.9261040211882423,0.0004570486105186352
36,0.006891810477463377,0.6208196252213388,0.9343000128320288,0.8219968231436806,0.9361165801249778,0.00045464153616404967
37,0.017231517886344586,0.6545907814981706,0.9248043115616579,0.8059294813386668,0.9247196185992835,0.0004521759336362317
38,0.010657224076874207,0.6364103766884494,0.9298088027717182,0.7974910587720061,0.9288139624660119,0.00044965255398159615
39,0.018568659772466262,0.6383689902253593,0.9230078275375336,0.7837655674540506,0.9239983331733421,0.00044707216584603023
40,0.01716170303675273,0.9856135632383584,0.8825869369947389,0.7171231797083361,0.8817256833800968,0.00044443555524075693
41,0.016146038356890463,0.6986153301856142,0.922237905812909,0.7528503375696851,0.9187673532202439,0.000441743525302908
42,0.012324127288162994,0.6256953164883916,0.9264724752983446,0.8056274874265735,0.9261299054989084,0.00043899689605088083
43,0.011945767629151872,0.6421837664341334,0.9217246246631593,0.7963199069632079,0.9260691441006141,0.0004361965041345527
44,0.012174737030883053,0.5781517587252395,0.934941614269216,0.8236649781558327,0.935412769430998,0.0004333432025804293
