epoch,train_loss,val_loss,val_oa,val_macro_f1,val_weighted_f1,lr
1,0.4356610124823534,0.5435294847644796,0.8203515975875786,0.6876827495526755,0.8377417189574523,0.0004999638275996429
2,0.20166139138234207,0.5703193287715639,0.8529449505966893,0.6783656904764354,0.8607462289667034,0.0004998553214170351
3,0.13708312468117625,0.5078116237191064,0.8778390863595534,0.7463776522246793,0.8768710349693835,0.0004996745145042111
4,0.10480887261132832,0.48608669485196454,0.8951623251636084,0.7662322899216361,0.8935171754950537,0.0004994214619367081
5,0.09713372307629028,0.7255319974682447,0.8575644809444373,0.7065309065552103,0.8746866937488912,0.0004990962407967894
6,0.08363483084899191,0.48939950686088685,0.9076093930450404,0.7836754424839595,0.9086041426101662,0.0004986989501499647
7,0.06787648413454607,0.43665962233135724,0.9135121262671628,0.7666182586249755,0.9141312650834785,0.0004982297110148137
8,0.05544855711235058,0.41549404692269354,0.9296804824842808,0.8203334531995723,0.9306744357378002,0.0004976886663261227
9,0.051089500423458445,0.767165277642209,0.8737328371615553,0.7085582027420698,0.8779859043976602,0.0004970759808913449
10,0.035931055887963824,0.5089338518493087,0.9203131015013474,0.7974744796546616,0.9206871611606718,0.000496391841340399
11,0.04046687860342118,0.48438979155895434,0.9153086102912871,0.8215402650328136,0.9190853089422626,0.0004956364560688198
12,0.03621687344942781,0.87736755021257,0.8444758116258181,0.6647565789513732,0.8601328013480732,0.0004948100551742784
13,0.04051542170261962,0.5554681089716643,0.9047863467214167,0.7567512713837281,0.9074722405159134,0.0004939128903864929
14,0.03515198235439529,0.49555283615752954,0.9233927883998461,0.8217832212142206,0.9259361195015139,0.0004929452349905487
15,0.030518644371411018,0.4673407109878959,0.9117156422430386,0.7799928279621194,0.9146886979041133,0.0004919073837436533
16,0.028809628818140146,0.46292965123150553,0.9285255998973437,0.8207543550424546,0.9290906662835804,0.0004907996527853503
17,0.023449328433818573,0.4684186190544703,0.926857436160657,0.8097893333000727,0.9271059284861113,0.0004896223795412205
18,0.02770035597439676,0.4771226296408774,0.9312203259335301,0.8167687855395208,0.9314177915662177,0.0004883759226200986
19,0.022395512256989155,0.7360494370797653,0.8942640831515463,0.7614119104496417,0.898987034609972,0.00048706066170483734
20,0.029255523182112383,0.5359566967467378,0.9168484537405364,0.7860891918189439,0.9226267977818162,0.0004856769974366528
21,0.025223445697372355,0.7480002256170758,0.8868215064801745,0.7301255372234068,0.8925199667313294,0.000484225351293085
22,0.02034903720654151,0.9031897122239467,0.8677017836519954,0.7180043507395504,0.8803214710648807,0.00048270616545961157
23,0.022525172357397687,0.46620621285921116,0.9355832157064032,0.834190199853536,0.9382519453828878,0.00048111990269495417
24,0.021269839011294405,0.6811599205435718,0.9019633003977929,0.7899527167445585,0.9042034827185396,0.00047946704619011724
25,0.026469779010332276,0.5111163277304789,0.9253175927114077,0.8183466535991818,0.9282721024938244,0.00047774809942120397
26,0.017804612865373284,1.039778993349773,0.8760426023354292,0.758287776193529,0.8708341708655146,0.00047596358599605174
27,0.013987050498398334,0.5497817496119844,0.9281406390350314,0.8101932381409639,0.9321291171527498,0.00047411404949473696
28,0.017187974534770927,0.7995525977841604,0.8978570511997946,0.7507012221927716,0.8988750601272429,0.0004722000533039948
29,0.01764544753143517,0.6073071569107025,0.9137687668420377,0.7539298246652589,0.9122107490595722,0.0004702221804456061
30,0.024316214658339236,0.7251166631412499,0.9079943539073527,0.7774737648108574,0.9099579863204216,0.0004681810333988039
31,0.0160199320607014,0.5533370741574606,0.9241627101244707,0.8015087723765665,0.9239426482628997,0.00046607723391675133
32,0.012203973956791106,0.5741601885196782,0.9286539201847812,0.7900136953393119,0.928328325878149,0.0004639114228371508
33,0.015190124072324987,0.8014883030950407,0.900551777235981,0.7875068266784852,0.9006057014034967,0.00046168425988703785
34,0.021284815607064123,0.5036839170992766,0.9267291158732196,0.8032743066229201,0.9276869288944193,0.00045939642348182203
35,0.013633167732318954,0.5377596908780117,0.9322468882330296,0.8163694612502717,0.9339306219113327,0.0004570486105186352
36,0.008453044693897642,0.8675660071269439,0.9056845887334788,0.7438784386446301,0.90105307933609,0.00045464153616404967
37,0.013468621713690657,0.6333103668296323,0.926857436160657,0.808333776014697,0.9265381611164566,0.0004521759336362317
38,0.009448556703498881,0.6945344669014853,0.9133838059797253,0.7910901382189031,0.9153705270412003,0.00044965255398159615
39,0.015674381095191967,0.6973161129419183,0.9088925959194148,0.7985465803190599,0.9160212817523763,0.00044707216584603023
40,0.011786214111479768,1.494217999380831,0.8200949570127037,0.6494114717297023,0.8236353431223534,0.00044443555524075693
41,0.015223159034105474,1.0134483822912481,0.8797638906711152,0.7365756466000506,0.8915705468953269,0.000441743525302908
42,0.011968276141251379,0.936454286606314,0.8890029513666111,0.7599830213380582,0.8917727853856251,0.00043899689605088083
43,0.008655194160067319,0.7172031187056719,0.913255485692288,0.8023472541102783,0.9204400416616948,0.0004361965041345527
44,0.014339068744644887,0.6866001917745955,0.9118439625304761,0.7754435110816975,0.9168471565032398,0.0004333432025804293
45,0.00905076562234329,0.5929206843041374,0.9294238419094059,0.8099125798082383,0.928355929260582,0.0004304378605318047
46,0.009354124835386644,0.6813549434779217,0.917875016040036,0.7951223101743302,0.9220133857787243,0.00042748136298401156
47,0.011589090076801327,0.6728264321981364,0.9235211086872834,0.8107776195103579,0.9266601162546788,0.00042447461051484315
48,0.010354061861248955,1.144240537634923,0.8883613499294238,0.7691477733387746,0.8948119355003422,0.0004214185190102286
49,0.012458567492748245,0.5782479759025336,0.9323752085204671,0.825520215276012,0.9326182091042174,0.00041831401938524523
50,0.007005125496051945,0.6812203901441546,0.9151802900038496,0.7936895531931168,0.9172331262730055,0.0004151620573005528
51,0.005034515525632039,0.7603858781775064,0.9159502117284742,0.7300692923140059,0.9114495318011239,0.00041196359287433616
