epoch,train_loss,val_loss,val_oa,val_macro_f1,val_weighted_f1,lr
1,0.4371019904697141,0.8283772996825057,0.7446426279994868,0.6289590933342409,0.7339437388906139,0.0004999638275996429
2,0.21318059111715756,0.8909539321301941,0.8053381239573977,0.6115593501474482,0.8092253297178092,0.0004998553214170351
3,0.15283016595332563,0.5210258398095036,0.8729629154369306,0.6572782425188735,0.8608439745935209,0.0004996745145042111
4,0.11906779583264206,0.9367339237749449,0.7670986783010394,0.619647830089434,0.7909842827987879,0.0004994214619367081
5,0.10191331578538632,0.6774593469549507,0.8677017836519954,0.6912784538290778,0.8601388506238715,0.0004990962407967894
6,0.08914065906618664,0.4958323583094499,0.9081226741947902,0.7543347241641599,0.9084794847110691,0.0004986989501499647
7,0.06509944572508748,0.4098863598085002,0.9085076350571025,0.7742386089640221,0.9117862734997737,0.0004982297110148137
8,0.05732134737226428,0.6730467237784649,0.884640061593738,0.7207588648288149,0.8859384435369796,0.0004976886663261227
9,0.050463621370063834,0.4304467465857443,0.9208263826510972,0.7748117618452881,0.9239792437061451,0.0004970759808913449
10,0.05066106043460445,0.5770442080199777,0.897343770050045,0.7491374093116868,0.9054009449081771,0.000496391841340399
11,0.04054770424511011,0.43828621511186006,0.9227511869626588,0.8006689298963063,0.9230187962178746,0.0004956364560688198
12,0.03406407349860192,0.618733467923007,0.9024765815475426,0.7384665360287269,0.8999676639482377,0.0004948100551742784
13,0.0341691321952192,0.5501974625650666,0.9024765815475426,0.7525753755138886,0.909809368031238,0.0004939128903864929
14,0.032169437264584516,0.727199918728055,0.8905427948158604,0.7399353731221616,0.9000535245382005,0.0004929452349905487
15,0.03191504073926162,0.520278561560372,0.9219812652380341,0.7932293046342486,0.9216771109641341,0.0004919073837436533
16,0.02799805551538843,1.261188586390257,0.8446041319132555,0.6805729324720539,0.8460301326844794,0.0004907996527853503
17,0.03398135823234608,0.5695170745604448,0.9092775567817272,0.7932429431731358,0.9127143905048445,0.0004896223795412205
18,0.03164574035818799,0.48992703021162437,0.9230078275375336,0.8099294609779794,0.9265738992076272,0.0004883759226200986
