epoch,train_loss,val_loss,val_oa,val_macro_f1,val_weighted_f1
1,1.3889396690059435,0.6912169893243898,0.8147055049403311,0.5602844159838277,0.8012793828210418
2,0.7509201556127534,0.6069021077725516,0.8167586295393302,0.5834647868766646,0.8179041996280723
3,0.625011206734739,0.7431579934124534,0.7891697677402797,0.5718744538628555,0.7996782012151664
4,0.5476447481687378,0.5828554129626136,0.8112408571795201,0.5704880875524534,0.8122675342957318
5,0.47540444868707804,0.547643082863396,0.8306172205825741,0.5922865157825237,0.830634338901649
6,0.4460948345074912,0.5528320034936713,0.8462722956499422,0.6076664609453326,0.8446272215186066
7,0.4115884851982932,0.5797936636174161,0.8483254202489413,0.6158872734425019,0.8488640376073359
8,0.3439703005575527,0.5113604407306738,0.8395996407031951,0.6333281151093935,0.8488617731371509
9,0.31801839015434286,0.5174663467929661,0.835493391505197,0.6396390404481863,0.8485074645136073
10,0.3013724994709083,0.6507624629325065,0.8098293340177082,0.6152390457269977,0.8227844822691123
11,0.3232307354103468,0.5601780477036558,0.8404978827152573,0.6262451672986971,0.846771031113462
12,0.27220985257852465,0.5076773183813525,0.8538431926087514,0.665323081360377,0.8629266603348452
13,0.26436698461111047,0.5876686415571949,0.8404978827152573,0.6305810338286281,0.8440889982743142
14,0.23436512657123212,0.5456977936414836,0.8464006159373797,0.6447004868351165,0.8546948467519173
15,0.21972628169916078,0.6276093298260409,0.8266392916720133,0.6320619118044788,0.8397947017221654
16,0.23020951410462656,0.6761976404595472,0.8644937764660593,0.6520713029932763,0.8632004246895518
17,0.20760154211697918,0.6591405361138583,0.828564095983575,0.6284975137197159,0.8397774414269334
18,0.18950505950240779,0.6594917588789507,0.8316437828820736,0.6439860303069059,0.8435446788272827
19,0.19198295238911808,0.6537833428938135,0.8602592069806236,0.6598414088348562,0.863938537845889
20,0.18718892177574717,0.5988832470270998,0.8446041319132555,0.6449227205578633,0.8559884862024725
21,0.1546002631888977,0.6845181671421467,0.8206082381624534,0.6243682666940877,0.8352258379294685
22,0.1798822676610174,0.5975721499529912,0.8474271782368793,0.6625918686081463,0.860537228717128
23,0.14955788320593172,0.5852396590697773,0.8416527653021942,0.6447209466912236,0.8500571817799812
24,0.1381356624673833,0.685971694886543,0.85140510714744,0.6556316811162664,0.8590065966591737
25,0.130383790259167,0.5896846213320409,0.8576928012318747,0.6712250203736805,0.8687068151780978
26,0.13077808716394554,0.8987858114208249,0.8206082381624534,0.6264674361185654,0.83216242032694
27,0.12300356355856876,0.6522720601013745,0.8632105735916848,0.6673174984646718,0.870025035127781
28,0.10955032127207685,0.6205524679235144,0.8601308866931862,0.6721617046897357,0.86942547186382
29,0.12926634407176488,0.6856747649856273,0.8542281534710637,0.6762552615131626,0.8641777153892322
30,0.10840403472034153,0.7671499971751805,0.8677017836519954,0.6619068955549062,0.8701105285142063
31,0.12849802759219808,0.6899025032316414,0.8538431926087514,0.6491686292456766,0.8588547820868282
32,0.11338022624675008,0.724521509273035,0.858334402669062,0.647867051667986,0.8638880280048843
33,0.12812266697782373,0.6444334152501227,0.8728345951494931,0.6621009059360383,0.8749789309567634
34,0.12400520959050249,0.6623912066374976,0.8546131143333761,0.6644901445526521,0.8614891689143781
35,0.11446535977636248,0.5869231873034789,0.8820736558449891,0.6918641704385121,0.8876116450853546
36,0.09693717523691173,0.841582774074587,0.8478121390991916,0.6276745699023187,0.8491729370207107
37,0.12734901420427536,0.6113646526641741,0.8660336199153086,0.6750294837062811,0.8761809208638675
38,0.08383714413434223,0.6537795252331874,0.8746310791736174,0.68886726257898,0.8800244632497095
39,0.08389287934004509,0.6129477561355806,0.8792506095213654,0.6987248859935802,0.8886187882428481
40,0.07816344340245931,0.7756753401302042,0.8628256127293725,0.6580079546951537,0.8724782194279901
41,0.0817156873150366,0.6738476951853969,0.8553830360580008,0.6743769624974743,0.8661722980519556
42,0.07112434934441726,0.6688885964066265,0.8843834210188631,0.6903451803679395,0.887564616298983
43,0.07277219796580732,0.7595529330194567,0.8698832285384319,0.6722809471259658,0.8762436684717332
44,0.05847444317521355,0.8376854674057888,0.8696265879635571,0.682292207456029,0.8754187125223072
45,0.06389787062139246,0.6719281790235122,0.8597459258308738,0.6780165670885603,0.8715493568251137
46,0.19591083078562807,0.6703451475452694,0.8538431926087514,0.6600927643474812,0.864804970878065
47,0.0682405205774515,0.6917328891033285,0.8905427948158604,0.6937539569679569,0.892264728320222
48,0.06244179161947024,0.7286760612646551,0.8796355703836777,0.6869670930717895,0.8821644887551675
49,0.07868880681112109,0.6252195549326085,0.8715513922751187,0.6777083411974772,0.8738917767144344
50,0.07708502466219683,0.7459795740211183,0.878865648659053,0.6850157006617833,0.8820884084142009
51,0.056271774947317534,0.6879729993971567,0.8789939689464904,0.6988463272903953,0.8859520375211429
52,0.05559580047761301,0.8174823057504186,0.8483254202489413,0.6810469808489859,0.8680615169173928
53,0.08066865972941652,0.6935302727174564,0.8842551007314257,0.6966588068462222,0.8885837695250834
54,0.046775454032557104,1.0829993554925355,0.826254330809701,0.6357099050182953,0.8369187982253786
55,0.05459734841470488,0.8625983893703033,0.8780957269344283,0.6905065847245235,0.8819382836256053
56,0.05871975070219662,0.8664493484572494,0.8601308866931862,0.6602164206204647,0.8659832968886948
57,0.05306667967466762,0.7845335876729118,0.8827152572821763,0.6954500057757055,0.8852673620053598
58,0.08745916037419006,0.726633807461407,0.8693699473886821,0.688623191808228,0.8806991209928411
59,0.05961255537595013,0.8167728058059529,0.8745027588861799,0.6964134232173887,0.8827266496798164
60,0.05632326535656758,0.8360735817552817,0.8819453355575516,0.681067318645283,0.8839728007294607
61,0.09661060238578383,0.7833974362721222,0.8859232644681124,0.6951790149621638,0.8882216142418338
62,0.03798833151542201,0.9463915296917126,0.867316822789683,0.6690311698396431,0.8704156846675926
63,0.07542909726957239,0.8466191138082644,0.8872064673424869,0.694946358391391,0.8917115191539947
